"CORD_ID","DIRECTION","KNOT_VALUE_DECIMAL","CLUSTER_ID","KNOT_ID","KNOT_ORDINAL","CLUSTER_ORDINAL","NUM_TURNS"
3000046,"Z",7,1000065,1000150,3,1,7
3000047,"Z",10,1000066,1000151,1,1,0
3000047,"Z",10,1000066,1000152,2,2,0
3000047,"Z",10,1000066,1000153,3,3,0
3000047,"Z",10,1000066,1000154,4,4,0
3000047,"Z",10,1000066,1000155,5,5,0
3000047,"Z",10,1000066,1000156,6,6,0
3000047,"Z",9,1000067,1000157,7,1,9
3000048,"Z",1000,1000068,1000158,1,1,0
3000048,"Z",1000,1000068,1000159,2,2,0
3000048,"Z",1000,1000068,1000160,3,3,0
3000048,"Z",100,1000069,1000161,4,1,0
3000048,"Z",100,1000069,1000162,5,2,0
3000048,"Z",100,1000069,1000163,6,3,0
3000048,"Z",100,1000069,1000164,7,4,0
3000048,"Z",100,1000069,1000165,8,5,0
3000048,"Z",100,1000069,1000166,9,6,0
3000048,"Z",100,1000069,1000167,10,7,0
3000048,"Z",100,1000069,1000168,11,8,0
3000048,"Z",100,1000069,1000169,12,9,0
3000048,"Z",8,1000070,1000170,13,1,8
3000049,"Z",2,1000071,1000171,1,1,2
3000049,"Z",1,1000072,1000172,2,1,0
3000050,"Z",100,1000073,1000173,1,1,0
3000050,"Z",100,1000073,1000174,2,2,0
3000050,"U",7,1000074,1000175,3,1,7
3000051,"Z",10,1000075,1000176,1,1,0
3000051,"Z",10,1000075,1000177,2,2,0
3000051,"Z",10,1000075,1000178,3,3,0
3000052,"Z",3,1000076,1000179,1,1,3
3000053,"U",1,1000077,1000180,1,1,0
3000053,"U",1,1000077,1000181,2,2,0
3000056,"Z",1000,1000078,1000182,1,1,0
3000056,"Z",1000,1000078,1000183,2,2,0
3000056,"Z",1000,1000078,1000184,3,3,0
3000056,"Z",1000,1000078,1000185,4,4,0
3000056,"Z",10,1000079,1000186,5,1,0
3000056,"Z",10,1000079,1000187,6,2,0
3000056,"Z",3,1000080,1000188,7,1,3
3000057,"Z",100,1000081,1000189,1,1,0
3000057,"Z",100,1000081,1000190,2,2,0
3000057,"Z",10,1000082,1000191,3,1,0
3000057,"Z",3,1000083,1000192,4,1,3
3000058,"Z",100,1000084,1000193,1,1,0
3000058,"Z",10,1000085,1000194,2,1,0
3000058,"Z",7,1000086,1000195,3,1,7
3000059,"Z",10,1000087,1000196,1,1,0
3000059,"Z",10,1000087,1000197,2,2,0
3000059,"Z",10,1000087,1000198,3,3,0
3000059,"Z",10,1000087,1000199,4,4,0
3000059,"Z",10,1000087,1000200,5,5,0
3000059,"Z",10,1000087,1000201,6,6,0
3000059,"Z",10,1000087,1000202,7,7,0
3000059,"Z",5,1000088,1000203,8,1,5
3000060,"Z",100,1000089,1000204,1,1,0
3000061,"Z",10,1000090,1000205,1,1,0
3000062,"Z",10,1000091,1000206,1,1,0
3000062,"Z",10,1000091,1000207,2,2,0
3000063,"Z",1000,1000092,1000208,1,1,0
3000063,"Z",1000,1000092,1000209,2,2,0
3000063,"Z",1000,1000092,1000210,3,3,0
3000063,"Z",1000,1000092,1000211,4,4,0
3000063,"Z",10,1000093,1000212,5,1,0
3000063,"Z",10,1000093,1000213,6,2,0
3000063,"Z",10,1000093,1000214,7,3,0
3000063,"Z",10,1000093,1000215,8,4,0
3000063,"Z",10,1000093,1000216,9,5,0
3000063,"Z",10,1000093,1000217,10,6,0
3000063,"Z",10,1000093,1000218,11,7,0
3000063,"Z",10,1000093,1000219,12,8,0
3000063,"S",1,1000094,1000220,13,1,0
3000064,"Z",1000,1000095,1000221,1,1,0
3000064,"Z",1000,1000095,1000222,2,2,0
3000064,"Z",10,1000096,1000223,3,1,0
3000064,"Z",10,1000096,1000224,4,2,0
3000064,"Z",10,1000096,1000225,5,3,0
3000064,"Z",10,1000096,1000226,6,4,0
3000064,"Z",9,1000097,1000227,7,1,9
3000065,"Z",1000,1000098,1000228,1,1,0
3000065,"Z",10,1000099,1000229,2,1,0
3000065,"Z",10,1000099,1000230,3,2,0
3000065,"Z",10,1000099,1000231,4,3,0
3000065,"Z",6,1000100,1000232,5,1,6
3000066,"Z",10,1000101,1000233,1,1,0
3000066,"Z",10,1000101,1000234,2,2,0
3000066,"Z",10,1000101,1000235,3,3,0
3000066,"Z",10,1000101,1000236,4,4,0
3000066,"Z",10,1000101,1000237,5,5,0
3000066,"Z",10,1000101,1000238,6,6,0
3000066,"Z",10,1000101,1000239,7,7,0
3000067,"Z",10,1000102,1000240,1,1,0
3000067,"Z",9,1000103,1000241,2,1,9
3000068,"Z",6,1000104,1000242,1,1,6
3000069,"Z",10,1000105,1000243,1,1,0
3000069,"Z",1,1000106,1000244,2,1,0
3000070,"Z",10,1000107,1000245,1,1,0
3000070,"Z",10,1000107,1000246,2,2,0
3000070,"Z",9,1000108,1000247,3,1,9
3000071,"Z",1000,1000109,1000248,1,1,0
3000071,"Z",1000,1000109,1000249,2,2,0
3000071,"Z",1000,1000109,1000250,3,3,0
3000071,"Z",1000,1000109,1000251,4,4,0
3000071,"Z",1000,1000109,1000252,5,5,0
3000071,"Z",1000,1000109,1000253,6,6,0
3000071,"Z",1000,1000109,1000254,7,7,0
3000071,"Z",1000,1000109,1000255,8,8,0
3000071,"Z",1000,1000109,1000256,9,9,0
3000071,"Z",10,1000110,1000257,10,1,0
3000071,"Z",8,1000111,1000258,11,1,8
3000072,"Z",7,1000112,1000259,1,1,7
3000073,"Z",1000,1000113,1000260,1,1,0
3000073,"Z",1000,1000113,1000261,2,2,0
3000073,"Z",1000,1000113,1000262,3,3,0
3000073,"Z",10,1000114,1000263,4,1,0
3000073,"Z",10,1000114,1000264,5,2,0
3000073,"Z",10,1000114,1000265,6,3,0
3000073,"Z",10,1000114,1000266,7,4,0
3000073,"Z",3,1000115,1000267,8,1,3
3000074,"Z",100,1000116,1000268,1,1,0
3000074,"Z",100,1000116,1000269,2,2,0
3000075,"Z",1000,1000117,1000270,1,1,0
3000075,"Z",1000,1000117,1000271,2,2,0
3000075,"Z",10,1000118,1000272,3,1,0
3000075,"Z",10,1000118,1000273,4,2,0
3000075,"Z",10,1000118,1000274,5,3,0
3000075,"Z",10,1000118,1000275,6,4,0
3000075,"Z",10,1000118,1000276,7,5,0
3000075,"Z",10,1000118,1000277,8,6,0
3000075,"Z",10,1000118,1000278,9,7,0
3000075,"Z",3,1000119,1000279,10,1,3
3000076,"Z",10,1000120,1000280,1,1,0
3000076,"Z",10,1000120,1000281,2,2,0
3000076,"Z",10,1000120,1000282,3,3,0
3000076,"Z",10,1000120,1000283,4,4,0
3000076,"Z",10,1000120,1000284,5,5,0
3000076,"Z",10,1000120,1000285,6,6,0
3000076,"Z",10,1000120,1000286,7,7,0
3000076,"Z",10,1000120,1000287,8,8,0
3000076,"Z",10,1000120,1000288,9,9,0
3000076,"Z",5,1000121,1000289,10,1,5
3000077,"Z",10,1000122,1000290,1,1,0
3000077,"Z",6,1000123,1000291,2,1,6
3000078,"Z",10,1000124,1000292,1,1,0
3000078,"Z",10,1000124,1000293,2,2,0
3000078,"Z",10,1000124,1000294,3,3,0
3000078,"S",1,1000125,1000295,4,1,0
3000079,"Z",4,1000126,1000296,1,1,4
3000080,"Z",6,1000127,1000297,1,1,6
3000081,"Z",100,1000128,1000298,1,1,0
3000081,"S",1,1000129,1000299,2,1,0
3000082,"Z",10,1000130,1000300,1,1,0
3000082,"Z",3,1000131,1000301,2,1,3
3000082,"Z",7,1000132,1000302,3,1,7
3000085,"Z",10,1000133,1000303,1,1,0
3000085,"Z",10,1000133,1000304,2,2,0
3000085,"Z",5,1000134,1000305,3,1,5
3000086,"Z",10,1000135,1000306,1,1,0
3000086,"Z",10,1000135,1000307,2,2,0
3000086,"Z",6,1000136,1000308,3,1,6
3000087,"Z",10,1000137,1000309,1,1,0
3000087,"Z",10,1000137,1000310,2,2,0
3000087,"Z",4,1000138,1000311,3,1,4
3000089,"Z",1000,1000139,1000312,1,1,0
3000089,"Z",10,1000140,1000313,2,1,0
3000089,"Z",4,1000141,1000314,3,1,4
3000091,"S",1,1000142,1000315,1,1,0
3000093,"Z",3,1000143,1000316,1,1,3
3000094,"Z",10,1000144,1000317,1,1,0
3000094,"Z",10,1000144,1000318,2,2,0
3000094,"Z",10,1000144,1000319,3,3,0
3000094,"Z",4,1000145,1000320,4,1,4
3000095,"Z",10,1000146,1000321,1,1,0
3000095,"Z",10,1000146,1000322,2,2,0
3000095,"Z",2,1000147,1000323,3,1,2
3000097,"Z",10,1000148,1000324,1,1,0
3000097,"Z",10,1000148,1000325,2,2,0
3000097,"Z",8,1000149,1000326,3,1,8
3000098,"Z",10,1000150,1000327,1,1,0
3000098,"Z",10,1000150,1000328,2,2,0
3000098,"Z",10,1000150,1000329,3,3,0
3000098,"Z",2,1000151,1000330,4,1,2
3000099,"Z",5,1000152,1000331,1,1,5
3000100,"Z",3,1000153,1000332,1,1,3
3000101,"Z",10,1000154,1000333,1,1,0
3000101,"Z",10,1000154,1000334,2,2,0
3000101,"Z",8,1000155,1000335,3,1,8
3000102,"Z",7,1000156,1000336,1,1,7
3000103,"Z",10,1000157,1000337,1,1,0
3000103,"Z",1,1000158,1000338,2,1,0
3000104,"Z",2,1000159,1000339,1,1,2
3000105,"Z",2,1000160,1000340,1,1,2
3000106,"Z",10,1000161,1000341,1,1,0
3000106,"Z",1,1000162,1000342,2,1,0
3000107,"Z",9,1000163,1000343,1,1,9
3000108,"Z",4,1000164,1000344,1,1,4
3000109,"Z",10,1000165,1000345,1,1,0
3000109,"Z",2,1000166,1000346,2,1,2
3000110,"Z",2,1000167,1000347,1,1,2
3000111,"Z",10,1000168,1000348,1,1,0
3000111,"Z",4,1000169,1000349,2,1,4
3000112,"Z",4,1000170,1000350,1,1,4
3000113,"Z",3,1000171,1000351,1,1,3
3000114,"S",1,1000172,1000352,1,1,0
3000115,"Z",10,1000173,1000353,1,1,0
3000116,"Z",3,1000174,1000354,1,1,3
3000117,"Z",2,1000175,1000355,1,1,2
3000118,"Z",2,1000176,1000356,1,1,2
3000120,"Z",2,1000177,1000357,1,1,2
3000121,"Z",10,1000178,1000358,1,1,0
3000121,"S",1,1000179,1000359,2,1,0
3000121,"Z",4,1000180,1000360,3,1,4
3000122,"Z",10,1000181,1000361,1,1,0
3000122,"Z",10,1000181,1000362,2,2,0
3000122,"S",1,1000182,1000363,3,1,0
3000123,"Z",10,1000183,1000364,1,1,0
3000123,"Z",10,1000183,1000365,2,2,0
3000123,"Z",10,1000183,1000366,3,3,0
3000123,"Z",10,1000183,1000367,4,4,0
3000123,"Z",10,1000183,1000368,5,5,0
3000123,"Z",10,1000183,1000369,6,6,0
3000124,"Z",10,1000184,1000370,1,1,0
3000125,"Z",10,1000185,1000371,1,1,0
3000125,"Z",10,1000185,1000372,2,2,0
3000126,"Z",10,1000186,1000373,1,1,0
3000126,"Z",6,1000187,1000374,2,1,6
3000127,"Z",10,1000188,1000375,1,1,0
3000127,"Z",9,1000189,1000376,2,1,9
3000128,"Z",10,1000190,1000377,1,1,0
3000128,"Z",10,1000190,1000378,2,2,0
3000128,"Z",5,1000191,1000379,3,1,5
3000129,"Z",10,1000192,1000380,1,1,0
3000129,"Z",1,1000193,1000381,2,1,0
3000130,"Z",10,1000194,1000382,1,1,0
3000130,"Z",6,1000195,1000383,2,1,6
3000131,"Z",10,1000196,1000384,1,1,0
3000131,"Z",1,1000197,1000385,2,1,0
3000132,"Z",10,1000198,1000386,1,1,0
3000132,"Z",6,1000199,1000387,2,1,6
3000132,"Z",1,1000200,1000388,3,1,0
3000133,"Z",100,1000201,1000389,1,1,0
3000133,"Z",10,1000202,1000390,2,1,0
3000133,"Z",1,1000203,1000391,3,1,0
3000134,"Z",8,1000204,1000392,1,1,8
3000135,"Z",10,1000205,1000393,1,1,0
3000135,"Z",10,1000205,1000394,2,2,0
3000137,"Z",10,1000206,1000395,1,1,0
3000137,"Z",10,1000206,1000396,2,2,0
3000137,"Z",7,1000207,1000397,3,1,7
3000138,"Z",10,1000208,1000398,1,1,0
3000138,"Z",10,1000208,1000399,2,2,0
3000138,"Z",10,1000208,1000400,3,3,0
3000138,"Z",10,1000208,1000401,4,4,0
3000139,"Z",8,1000209,1000402,1,1,8
3000141,"Z",10,1000210,1000403,1,1,0
3000141,"Z",4,1000211,1000404,2,1,4
3000142,"Z",10,1000212,1000405,1,1,0
3000142,"Z",6,1000213,1000406,2,1,6
3000143,"Z",10,1000214,1000407,1,1,0
3000143,"Z",10,1000214,1000408,2,2,0
3000143,"Z",4,1000215,1000409,3,1,4
3000144,"Z",10,1000216,1000410,1,1,0
3000144,"Z",7,1000217,1000411,2,1,7
3000145,"Z",10,1000218,1000412,1,1,0
3000145,"Z",5,1000219,1000413,2,1,5
3000146,"Z",10,1000220,1000414,1,1,0
3000146,"S",1,1000221,1000415,2,1,0
3000147,"Z",10,1000222,1000416,1,1,0
3000147,"Z",6,1000223,1000417,2,1,6
3000149,"Z",2,1000224,1000418,1,1,2
3000150,"Z",10,1000225,1000419,1,1,0
3000150,"Z",10,1000225,1000420,2,2,0
3000150,"Z",10,1000225,1000421,3,3,0
3000150,"Z",10,1000225,1000422,4,4,0
3000150,"Z",10,1000225,1000423,5,5,0
3000150,"Z",10,1000225,1000424,6,6,0
3000150,"Z",10,1000225,1000425,7,7,0
3000150,"Z",1,1000226,1000426,8,1,0
3000151,"Z",8,1000227,1000427,1,1,8
3000153,"Z",10,1000228,1000428,1,1,0
3000153,"Z",10,1000228,1000429,2,2,0
3000153,"Z",4,1000229,1000430,3,1,4
3000154,"Z",2,1000230,1000431,1,1,2
3000156,"Z",5,1000231,1000432,1,1,5
3000157,"Z",7,1000232,1000433,1,1,7
3000158,"Z",3,1000233,1000434,1,1,3
3000159,"Z",10,1000234,1000435,1,1,0
3000159,"Z",2,1000235,1000436,2,1,2
3000160,"Z",10,1000236,1000437,1,1,0
3000160,"S",1,1000237,1000438,2,1,0
3000161,"Z",9,1000238,1000439,1,1,9
3000162,"Z",10,1000239,1000440,1,1,0
3000162,"Z",2,1000240,1000441,2,1,2
3000163,"Z",6,1000241,1000442,1,1,6
3000164,"Z",8,1000242,1000443,1,1,8
3000165,"Z",10,1000243,1000444,1,1,0
3000165,"Z",3,1000244,1000445,2,1,3
3000166,"Z",100,1000245,1000446,1,1,0
3000166,"Z",10,1000246,1000447,2,1,0
3000166,"Z",10,1000246,1000448,3,2,0
3000166,"Z",10,1000246,1000449,4,3,0
3000166,"Z",10,1000246,1000450,5,4,0
3000166,"Z",2,1000247,1000451,6,1,2
3000167,"Z",10,1000248,1000452,1,1,0
3000167,"Z",10,1000248,1000453,2,2,0
3000169,"Z",10,1000249,1000454,1,1,0
3000169,"Z",2,1000250,1000455,2,1,2
3000170,"Z",3,1000251,1000456,1,1,3
3000171,"Z",8,1000252,1000457,1,1,8
3000172,"Z",10,1000253,1000458,1,1,0
3000172,"Z",10,1000253,1000459,2,2,0
3000172,"Z",10,1000253,1000460,3,3,0
3000172,"Z",10,1000253,1000461,4,4,0
3000172,"Z",10,1000253,1000462,5,5,0
3000172,"Z",3,1000254,1000463,6,1,3
3000173,"Z",10,1000255,1000464,1,1,0
3000173,"Z",10,1000255,1000465,2,2,0
3000173,"Z",10,1000255,1000466,3,3,0
3000173,"Z",10,1000255,1000467,4,4,0
3000173,"Z",5,1000256,1000468,5,1,5
3000175,"Z",10,1000257,1000469,1,1,0
3000175,"S",1,1000258,1000470,2,1,0
3000176,"Z",10,1000259,1000471,1,1,0
3000176,"Z",10,1000259,1000472,2,2,0
3000176,"Z",2,1000260,1000473,3,1,2
3000177,"Z",10,1000261,1000474,1,1,0
3000177,"Z",10,1000261,1000475,2,2,0
3000177,"S",1,1000262,1000476,3,1,0
3000178,"Z",10,1000263,1000477,1,1,0
3000178,"Z",10,1000263,1000478,2,2,0
3000178,"Z",8,1000264,1000479,3,1,8
3000179,"Z",10,1000265,1000480,1,1,0
3000179,"Z",8,1000266,1000481,2,1,8
3000180,"Z",10,1000267,1000482,1,1,0
3000180,"Z",10,1000267,1000483,2,2,0
3000180,"Z",6,1000268,1000484,3,1,6
3000181,"Z",10,1000269,1000485,1,1,0
3000181,"Z",10,1000269,1000486,2,2,0
3000181,"Z",4,1000270,1000487,3,1,4
3000182,"S",100,1000271,1000488,1,1,0
3000182,"Z",10,1000272,1000489,2,1,0
3000182,"Z",2,1000273,1000490,3,1,2
3000183,"Z",2,1000274,1000491,1,1,2
3000184,"Z",10,1000275,1000492,1,1,0
3000184,"Z",10,1000275,1000493,2,2,0
3000184,"Z",10,1000275,1000494,3,3,0
3000184,"Z",10,1000275,1000495,4,4,0
3000185,"Z",10,1000276,1000496,1,1,0
3000185,"Z",10,1000276,1000497,2,2,0
3000185,"Z",10,1000276,1000498,3,3,0
3000185,"Z",10,1000276,1000499,4,4,0
3000185,"Z",8,1000277,1000500,5,1,8
3000186,"Z",6,1000278,1000501,1,1,6
3000187,"Z",6,1000279,1000502,1,1,6
3000188,"Z",5,1000280,1000503,1,1,5
3000189,"Z",5,1000281,1000504,1,1,5
3000190,"Z",10,1000282,1000505,1,1,0
3000190,"Z",10,1000282,1000506,2,2,0
3000190,"Z",2,1000283,1000507,3,1,2
3000191,"Z",10,1000284,1000508,1,1,0
3000192,"Z",10,1000285,1000509,1,1,0
3000192,"Z",2,1000286,1000510,2,1,2
3000193,"Z",10,1000287,1000511,1,1,0
3000193,"Z",10,1000287,1000512,2,2,0
3000193,"Z",5,1000288,1000513,3,1,5
3000194,"Z",10,1000289,1000514,1,1,0
3000194,"Z",6,1000290,1000515,2,1,6
3000195,"Z",10,1000291,1000516,1,1,0
3000195,"Z",5,1000292,1000517,2,1,5
3000196,"Z",10,1000293,1000518,1,1,0
3000196,"Z",10,1000293,1000519,2,2,0
3000196,"Z",3,1000294,1000520,3,1,3
3000197,"Z",100,1000295,1000521,1,1,0
3000197,"Z",6,1000296,1000522,2,1,6
3000199,"S",1,1000297,1000523,1,1,0
3000201,"Z",10,1000298,1000524,1,1,0
3000201,"Z",3,1000299,1000525,2,1,3
3000202,"Z",3,1000300,1000526,1,1,3
3000203,"Z",10,1000301,1000527,1,1,0
3000203,"Z",10,1000301,1000528,2,2,0
3000203,"Z",10,1000301,1000529,3,3,0
3000203,"Z",2,1000302,1000530,4,1,2
3000204,"Z",10,1000303,1000531,1,1,0
3000204,"Z",10,1000303,1000533,2,2,0
3000204,"Z",10,1000303,1000534,3,3,0
3000204,"Z",10,1000303,1000535,4,4,0
3000204,"S",1,1000304,1000536,5,1,0
3000205,"Z",4,1000305,1000537,1,1,4
3000208,"Z",10,1000306,1000538,1,1,0
3000208,"Z",2,1000307,1000539,2,1,2
3000209,"Z",10,1000308,1000540,1,1,0
3000211,"Z",9,1000309,1000541,1,1,9
3000212,"Z",10,1000310,1000542,1,1,0
3000212,"Z",2,1000311,1000543,2,1,2
3000213,"Z",10,1000312,1000544,1,1,0
3000213,"Z",10,1000312,1000545,2,2,0
3000213,"Z",2,1000313,1000546,3,1,2
3000214,"Z",100,1000314,1000547,1,1,0
3000214,"Z",10,1000315,1000548,2,1,0
3000214,"Z",10,1000315,1000549,3,2,0
3000214,"Z",5,1000316,1000550,4,1,5
3000215,"Z",6,1000317,1000551,1,1,6
3000216,"Z",10,1000318,1000552,1,1,0
3000216,"Z",10,1000318,1000553,2,2,0
3000216,"Z",2,1000319,1000554,3,1,2
3000217,"Z",10,1000320,1000555,1,1,0
3000217,"Z",10,1000320,1000556,2,2,0
3000217,"Z",8,1000321,1000557,3,1,8
3000218,"Z",10,1000322,1000558,1,1,0
3000218,"Z",10,1000322,1000559,2,2,0
3000218,"Z",10,1000322,1000560,3,3,0
3000218,"Z",4,1000323,1000561,4,1,4
3000220,"Z",3,1000324,1000562,1,1,3
3000221,"Z",3,1000325,1000563,1,1,3
3000222,"Z",8,1000326,1000564,1,1,8
3000223,"Z",2,1000327,1000565,1,1,2
3000224,"Z",7,1000328,1000566,1,1,7
3000225,"Z",10,1000329,1000567,1,1,0
3000225,"Z",2,1000330,1000568,2,1,2
3000226,"Z",10,1000331,1000569,1,1,0
3000226,"Z",10,1000331,1000570,2,2,0
3000227,"Z",10,1000332,1000571,1,1,0
